Tempo,Estado,Alt,Vel,AccX,AccY,AccZ,Lat,Lon
23645,0,-0.12,0.00,10.036,0.187,0.302,0,0
23696,0,-0.13,-1.01,10.008,0.244,0.330,0,0
23748,0,-0.13,0.00,9.965,0.211,0.393,0,0
23799,0,-0.05,2.01,10.003,0.211,0.273,0,0
23851,0,-0.02,1.23,10.051,0.196,0.187,0,0
23900,0,0.03,0.34,10.060,0.172,0.249,0,0
23950,0,-0.00,-1.11,10.027,0.172,0.306,0,0
24001,0,0.01,0.00,10.070,0.168,0.283,0,0
24051,0,-0.00,-0.18,10.032,0.163,0.273,0,0
24102,0,0.01,0.36,10.070,0.086,0.230,0,0
24153,0,0.02,0.00,10.003,0.124,0.326,0,0
24205,0,0.04,-1.01,9.955,0.034,0.187,0,0
24257,0,0.05,0.32,10.185,-0.029,0.134,0,0
24314,0,0.04,-0.16,10.118,-0.206,0.144,0,0
24366,0,0.04,-0.13,10.080,-0.158,0.177,0,0
24416,0,0.02,-0.71,10.065,-0.168,0.148,0,0
24468,0,0.03,0.32,10.070,-0.053,0.230,0,0
24519,0,0.09,1.43,10.056,0.038,0.105,0,0
24571,0,0.11,0.71,10.036,0.086,0.139,0,0
24622,0,0.13,0.00,9.993,-0.019,0.359,0,0
24674,0,0.18,0.84,10.027,-0.053,0.402,0,0
24726,0,0.15,0.00,10.027,-0.067,0.407,0,0
24777,0,0.16,-0.50,10.094,-0.019,0.302,0,0
24829,0,0.17,0.32,10.036,0.038,0.254,0,0
24880,0,0.18,0.00,10.017,0.010,0.306,0,0
24930,0,0.12,-1.09,10.003,0.096,0.330,0,0
24981,0,0.16,1.39,10.008,0.072,0.388,0,0
25031,0,0.19,1.91,10.051,0.034,0.321,0,0
25082,0,0.21,0.54,10.032,0.000,0.239,0,0
25131,0,0.23,0.00,10.060,0.110,0.235,0,0
25183,0,0.28,1.36,10.008,0.057,0.330,0,0
25234,0,0.28,0.00,10.036,0.062,0.273,0,0
25286,0,0.31,0.00,10.070,0.048,0.196,0,0
25338,0,0.32,0.00,10.060,0.086,0.230,0,0
25388,0,0.32,0.00,10.008,0.062,0.239,0,0
25440,0,0.36,0.00,10.013,0.053,0.244,0,0
25491,0,0.34,0.00,10.137,0.014,0.244,0,0
25543,0,0.34,-0.52,10.051,0.072,0.259,0,0
25594,0,0.32,-0.52,10.041,0.077,0.230,0,0
25646,0,0.35,0.00,10.008,0.077,0.230,0,0
25698,0,0.33,-0.54,10.065,0.115,0.153,0,0
25749,0,0.36,0.00,10.099,0.110,0.187,0,0
25801,0,0.33,-0.52,10.032,0.086,0.168,0,0
25852,0,0.32,-0.52,10.017,0.148,0.206,0,0
25904,0,0.35,0.00,10.003,0.110,0.177,0,0
25955,0,0.35,0.00,10.051,0.201,0.072,0,0
26005,0,0.34,0.00,9.993,0.215,0.067,0,0
26055,0,0.31,-1.11,10.080,0.110,0.192,0,0
26106,0,0.28,-1.06,10.032,0.144,0.158,0,0
26157,0,0.31,0.00,10.060,0.177,0.096,0,0
26209,0,0.26,-0.54,10.051,0.177,0.072,0,0
26261,0,0.24,0.00,10.065,0.182,0.072,0,0
26311,0,0.24,0.24,10.051,0.158,0.120,0,0
26360,0,0.20,-0.57,10.080,0.201,0.139,0,0
26412,0,0.19,0.00,10.027,0.177,0.096,0,0
26462,0,0.21,0.88,9.993,0.177,0.081,0,0
26514,0,0.20,0.00,10.013,0.168,0.057,0,0
26565,0,0.18,0.84,10.036,0.168,0.057,0,0
26617,0,0.15,-1.01,10.046,0.144,0.034,0,0
26668,0,0.12,0.38,10.060,0.196,0.014,0,0
26720,0,0.11,-0.50,10.017,0.182,0.072,0,0
